"employee_id","employee","expiring_licenses","nearest_expiry"
293771384,"Shane Potter","1","2025-09-18"
436744422,"Julian Collins","1","2025-09-18"
899519417,"Ethan Gardner","1","2025-09-18"
173008001,"William Williams","1","2025-09-18"
694543857,"Adrian Thomas","1","2025-09-18"
483177838,"Kai Collins","1","2025-09-18"
794740419,"Ryan Hamilton","2","2025-09-19"
504647194,"Roman Diaz","1","2025-09-19"
906308086,"Luke King","1","2025-09-19"
405967749,"Kody Mitchell","1","2025-09-19"
914377294,"William Ross","1","2025-09-19"
453384908,"Bennett Fischer","1","2025-09-19"
765970009,"Christopher Richardson","1","2025-09-19"
292533965,"Jaxon Jimenez","1","2025-09-19"
199125496,"Jeremiah Reeves","1","2025-09-19"
381661418,"Jonathan Wright","1","2025-09-20"
614221075,"Brayden Morales","2","2025-09-20"
855026444,"Malik Potter","1","2025-09-20"
430790878,"Isaiah Ramos","1","2025-09-20"
834087668,"Brayden Jackson","1","2025-09-20"
937065900,"Samuel Gardner","2","2025-09-20"
702194102,"Carson Jackson","1","2025-09-21"
192277077,"Shane Sanchez","1","2025-09-21"
797437076,"Finn Cook","1","2025-09-21"
144276393,"Anthony Stewart","1","2025-09-21"
659456878,"Adrian Cohen","1","2025-09-21"
805985778,"Carson Hall","2","2025-09-21"
648832241,"Samuel Keller","1","2025-09-21"
763870530,"Oliver Bryant","1","2025-09-21"
938917966,"Jonathan Holmes","1","2025-09-21"
163377731,"Micah Kelly","1","2025-09-21"
155219063,"Beau Serrano","1","2025-09-21"
260905367,"Hector Baldwin","1","2025-09-21"
461663689,"Joseph Holmes","1","2025-09-22"
963904840,"Josiah Rodriguez","1","2025-09-22"
180877110,"Liam Figueroa","2","2025-09-22"
948372048,"Mason Cohen","1","2025-09-22"
654403948,"Declan Taylor","1","2025-09-22"
993573230,"Christopher Gardner","1","2025-09-22"
721866034,"Gael Rodriguez","1","2025-09-22"
838557329,"Colton Parker","1","2025-09-22"
670521904,"Christopher Turner","2","2025-09-22"
969593943,"Evan Watson","1","2025-09-22"
377232158,"Weston Gray","2","2025-09-22"
810708240,"Ian Campbell","1","2025-09-23"
913722670,"Ryan Ramirez","1","2025-09-23"
804591039,"Levi Rodriguez","1","2025-09-23"
223824091,"Dominic Harris","1","2025-09-23"
807884100,"Evan Price","1","2025-09-23"
918657773,"Ethan Pena","1","2025-09-24"
332868781,"John Herrera","1","2025-09-24"
515049272,"Robert Schultz","1","2025-09-24"
551603657,"Ezra Douglas","2","2025-09-24"
886382543,"Nolan Smith","1","2025-09-24"
542494986,"Anthony Hall","1","2025-09-24"
209245823,"Shane Martin","1","2025-09-24"
276266311,"Jeremiah Parker","1","2025-09-24"
546060752,"Hector Lee","1","2025-09-24"
684370319,"Josiah Ruiz","1","2025-09-25"
716771946,"Eli Allen","1","2025-09-25"
135929803,"Peter Richardson","2","2025-09-25"
153184807,"Cameron Murphy","1","2025-09-25"
712389971,"Nolan Harris","1","2025-09-25"
638131887,"Shane Douglas","2","2025-09-25"
918507971,"Max Riley","1","2025-09-25"
245485479,"Bennett Adams","1","2025-09-25"
319889167,"Xavier Perez","2","2025-09-25"
336910823,"Easton Freeman","1","2025-09-25"
439104156,"Damian Phillips","1","2025-09-25"
301738785,"Andrew Gonzalez","1","2025-09-25"
189987802,"Aiden Diaz","1","2025-09-25"
878954839,"Xavier Torres","1","2025-09-25"
336351891,"Lucas Graham","2","2025-09-26"
870153506,"Christopher Williams","1","2025-09-26"
422403693,"Isaac Rivera","2","2025-09-26"
727129976,"Ethan Smith","2","2025-09-26"
352480716,"Micah Ward","1","2025-09-26"
909459196,"Hunter Gonzalez","1","2025-09-26"
696096057,"Grayson Ramos","1","2025-09-26"
470356158,"Christopher Nelson","2","2025-09-26"
338589351,"Brooks Cohen","1","2025-09-26"
999298566,"Charles Lee","1","2025-09-26"
814610466,"Rafael Ramirez","1","2025-09-26"
913089376,"Christopher Douglas","1","2025-09-26"
124637121,"Asher Hernandez","1","2025-09-27"
936591016,"Ian Gomez","1","2025-09-27"
280614363,"Elias Cooper","1","2025-09-27"
126330354,"Julian Carter","1","2025-09-27"
242607924,"Jordan Price","2","2025-09-27"
357877354,"Beau Richardson","1","2025-09-27"
237764227,"Jack Potter","1","2025-09-27"
431447731,"Victor Schultz","2","2025-09-27"
250590393,"Mason Powell","1","2025-09-28"
593114613,"Kayden Pena","1","2025-09-28"
888550352,"Jameson Evans","1","2025-09-29"
740996973,"Ezra Cruz","1","2025-09-29"
993700445,"Kody Mitchell","2","2025-09-29"
603927041,"Cameron Green","1","2025-09-29"
902149061,"Leo Spencer","1","2025-09-29"
851205538,"Rowan Miller","2","2025-09-29"
392348586,"Carson Wilson","1","2025-09-29"
624410595,"Jaxson Moore","1","2025-09-29"
818049455,"Dylan Taylor","1","2025-09-29"
962242720,"Carter Fischer","1","2025-09-29"
760248367,"Ryan Ross","1","2025-09-30"
856797180,"Jonathan Lewis","1","2025-09-30"
616080668,"Nicholas Perez","1","2025-09-30"
216053808,"Omar Gutierrez","1","2025-09-30"
360065154,"Elijah Miller","1","2025-09-30"
844418757,"Benjamin Turner","2","2025-09-30"
725174911,"Easton Baldwin","1","2025-09-30"
582435139,"Adrian Allen","1","2025-10-01"
692633648,"Nicholas Parker","1","2025-10-01"
543175627,"Jameson James","1","2025-10-01"
949983991,"David Garcia","2","2025-10-01"
617310975,"Parker Smith","1","2025-10-01"
119815638,"Santiago Reed","1","2025-10-01"
533530133,"Jackson Castillo","2","2025-10-01"
494652734,"Silas Baldwin","1","2025-10-01"
307114606,"Leonardo Riley","1","2025-10-02"
457412705,"Aaron Reeves","1","2025-10-02"
280616754,"Julian Walker","1","2025-10-02"
291219832,"Isaac Perez","1","2025-10-02"
798347387,"Xavier Jackson","1","2025-10-02"
138872041,"Asher Fischer","1","2025-10-03"
736142710,"Cameron Fischer","3","2025-10-03"
370347300,"Rafael Cross","1","2025-10-03"
698707538,"Oliver Torres","2","2025-10-03"
324994941,"Hector Baldwin","1","2025-10-03"
335063143,"Greyson Ward","1","2025-10-03"
825350169,"Aaron Collins","1","2025-10-04"
517064682,"Caleb Green","1","2025-10-04"
619657256,"Gabriel Kelly","1","2025-10-04"
862135873,"Cooper Gray","1","2025-10-04"
888836709,"Owen Wright","1","2025-10-04"
446933341,"Wyatt Reyes","1","2025-10-04"
103664843,"Charles Parker","1","2025-10-04"
631869485,"Jace Gonzalez","1","2025-10-05"
158477188,"Kody Hall","2","2025-10-05"
479624330,"Ezra Reeves","1","2025-10-05"
598493828,"Carter Mendoza","2","2025-10-05"
708568055,"Logan Miller","2","2025-10-05"
839969995,"Orion Myers","2","2025-10-05"
685094539,"Axel Edwards","3","2025-10-05"
984532851,"Oliver Reeves","1","2025-10-05"
625352891,"Micah Watson","1","2025-10-05"
191324648,"Zane Ruiz","1","2025-10-05"
798230021,"Roman Long","1","2025-10-06"
868683810,"Grayson Ramos","2","2025-10-06"
107781654,"Mateo Figueroa","1","2025-10-06"
904609061,"Connor Gray","1","2025-10-06"
391227268,"Christopher Allen","1","2025-10-06"
322696541,"James Long","1","2025-10-06"
548457810,"Oliver Gray","1","2025-10-06"
429016673,"Greyson Wood","1","2025-10-06"
566954962,"Gabriel Lopez","2","2025-10-06"
306116711,"Declan Davis","1","2025-10-06"
316889233,"Mason Rodriguez","2","2025-10-06"
749213228,"Joshua Serrano","1","2025-10-06"
682154736,"Harlan Lam","1","2025-10-06"
826010338,"Leo Wood","1","2025-10-06"
296237070,"Jackson Keller","1","2025-10-06"
535964711,"Daniel Long","1","2025-10-06"
347624667,"Jackson Bryant","1","2025-10-06"
890294083,"Ezekiel Wright","1","2025-10-06"
902573273,"Waylon Sanders","1","2025-10-07"
536660712,"Ezekiel Watson","2","2025-10-07"
422904382,"Rafael Lewis","1","2025-10-07"
141388839,"Anthony Hughes","1","2025-10-07"
354010034,"Ezekiel Sutton","1","2025-10-07"
278782968,"Robert Gomez","1","2025-10-07"
702647980,"Oliver Hughes","1","2025-10-07"
726938592,"Jaxson Baker","1","2025-10-07"
691708809,"John Hernandez","1","2025-10-07"
931949478,"Waylon Herrera","2","2025-10-07"
988711586,"Daniel Perez","1","2025-10-08"
238778883,"Gael Nelson","2","2025-10-08"
977504771,"Jackson Ross","1","2025-10-08"
488960481,"Ezra Peterson","1","2025-10-08"
526604759,"Weston Martinez","2","2025-10-08"
396346468,"Damian Kelly","1","2025-10-08"
459649897,"Elijah Hughes","1","2025-10-08"
311634189,"Lucas Weber","1","2025-10-09"
324895286,"Roman Williams","1","2025-10-09"
239709446,"Lincoln Murphy","1","2025-10-09"
616610996,"Jack Nguyen","2","2025-10-09"
218609161,"Shane Lee","2","2025-10-09"
569810806,"Nathan Carter","1","2025-10-09"
208159824,"Mason Hamilton","1","2025-10-09"
747520431,"Bennett Mendoza","1","2025-10-09"
157739646,"Lincoln Freeman","1","2025-10-10"
297055273,"Ethan Walker","1","2025-10-10"
353226423,"Theodore Thomas","1","2025-10-10"
