"employee_id","full_name","department","total_paid"
898920108,"David Gutierrez","IT","44404.04"
770505591,"Easton Watson","IT","43592.13"
472451570,"Jayden Kelly","IT","43567.54"
537243715,"Theodore Hughes","IT","42620.55"
712165251,"Micah Sanders","IT","41819.58"
926445180,"Bennett Serrano","IT","41813.86"
434021669,"Ezra Scott","IT","41623.84"
168877913,"Roman Stewart","IT","41584.89"
266072056,"Miles Cross","IT","41493.19"
880435271,"Mateo Adams","IT","41227.08"
230997773,"Jack Weber","IT","41062.69"
179323731,"Adrian Cook","IT","41033.13"
602427849,"Beau Price","IT","41031.87"
781248728,"Xavier Stewart","IT","40996.82"
589767292,"Benjamin Stewart","IT","40828.72"
714609810,"Angel Cruz","IT","40407.89"
491380393,"Isaac Perez","IT","40162.77"
744994729,"Ryan Ross","IT","40040.07"
228116859,"David Gray","IT","39968.69"
261276875,"Henry Lee","IT","39961.13"
855484458,"Jace Morris","IT","39806.51"
920522323,"Jace Moore","IT","39790.33"
619639550,"Finn Freeman","IT","39538.65"
505229362,"Victor Weber","IT","39495.57"
277799611,"Ian Miller","IT","39436.73"
185831371,"Brayden White","IT","39109.94"
779677133,"Gabriel Evans","IT","38995.30"
130659559,"Silas Brooks","IT","38836.26"
335689759,"Landon Walker","IT","38770.64"
642970198,"Andrew Richardson","IT","38633.44"
801611218,"Weston Riley","IT","38471.70"
496559300,"Malik Mitchell","IT","38391.98"
677723780,"Adrian Keller","IT","38360.37"
628169474,"Carson Phillips","IT","38345.41"
185172480,"Maverick Schultz","IT","38282.54"
691481809,"Leo Walters","IT","38168.88"
359201459,"Hudson Schultz","IT","37923.34"
924544780,"Harlan Herrera","IT","37913.43"
649429688,"Ezekiel Allen","IT","37859.60"
282820660,"Joshua Young","IT","37852.25"
935963397,"Everett Gray","IT","37840.10"
871366267,"Santiago Miller","IT","37838.56"
469369062,"Declan Walters","IT","37740.32"
580604274,"Orion Reyes","IT","37698.33"
869304588,"Nicholas Anderson","IT","37671.03"
504500762,"Victor Baldwin","IT","37670.06"
392570495,"Isaac Wilson","IT","37648.49"
913256742,"Adrian Bennett","IT","37461.66"
134016571,"Henry Schultz","IT","37399.55"
842332389,"Adrian Gutierrez","IT","37338.40"
809009499,"Malik Adams","IT","37318.37"
579666170,"Greyson Figueroa","IT","37313.19"
614869426,"Omar Thompson","IT","37308.30"
509090918,"Hunter Turner","IT","37217.89"
277148721,"Hunter Berg","IT","37203.96"
594336084,"Caleb Hall","IT","37192.94"
961504373,"Leo Jones","IT","37192.31"
693842199,"Evan Morgan","IT","37186.43"
251207437,"Rafael Hernandez","IT","37043.74"
775106331,"Joseph Price","IT","36994.87"
735159895,"Axel Walker","IT","36974.61"
956576852,"Harlan Reeves","IT","36941.16"
396440376,"Josiah Robinson","IT","36801.66"
112219119,"Dylan Weber","IT","36756.14"
407391561,"Jacob Ross","IT","36721.33"
853330564,"Ian Myers","IT","36704.20"
621000888,"Austin Wilson","IT","36623.09"
251471967,"Maverick Ruiz","IT","36607.18"
455265357,"Brooks Bryant","IT","36570.44"
610195185,"Jameson Long","IT","36546.98"
117396875,"Oliver Nguyen","IT","36503.81"
711469351,"Maverick Martinez","IT","36435.56"
815559266,"Sebastian Bailey","IT","36407.39"
543379733,"John Reed","IT","36366.13"
897764679,"Greyson Peterson","IT","36359.95"
731735201,"Finn Edwards","IT","36358.00"
194434014,"Benjamin Morales","IT","36323.43"
750886046,"Hector Gomez","IT","36310.42"
632437105,"Luca Potter","IT","36304.96"
321751731,"Ezra Weber","IT","36229.12"
135318890,"Brayden Campbell","IT","36227.40"
893608080,"Nicholas Ruiz","IT","36164.35"
280252261,"Damian Figueroa","IT","36160.26"
118486432,"Ryder Bennett","IT","36157.58"
647314158,"Levi Cox","IT","36087.27"
819629552,"Jonathan Hill","IT","35990.74"
997035843,"Jaxon Moore","IT","35927.49"
946216263,"Carter Edwards","IT","35899.94"
823380609,"Connor Reed","IT","35795.11"
454044751,"Everett Collins","IT","35768.28"
101544194,"Miles Bryant","IT","35627.88"
981565462,"Jaxon Turner","IT","35467.84"
253039225,"Ethan Mendoza","IT","35422.45"
928706477,"Rafael Schultz","IT","35416.83"
352295204,"Michael Kelly","IT","35374.36"
651487432,"Santiago Chavez","IT","35372.51"
238750704,"Cooper Johnson","IT","35354.07"
524557971,"Damian Phillips","IT","35353.19"
783773846,"Adam Carter","IT","35352.45"
574831742,"Lucas Cook","IT","35322.29"
864057208,"Easton Berg","IT","35206.59"
354061267,"Oliver Sanchez","IT","35168.28"
462567809,"Joshua Holmes","IT","35121.28"
899317746,"Hunter Lam","IT","35108.95"
382902000,"Sebastian Howard","IT","35085.01"
718700443,"Zane King","IT","35071.16"
722443892,"Micah Morales","IT","35035.05"
230686909,"Eli Riley","IT","35010.30"
927427104,"Benjamin Turner","IT","34997.45"
261493656,"Jordan Kim","IT","34980.15"
495198372,"William Reyes","IT","34962.61"
523073539,"Silas Peterson","IT","34847.28"
703526413,"Matthew Alvarez","IT","34846.66"
348628624,"Aiden Hernandez","IT","34720.15"
387692596,"Kody Ross","IT","34662.63"
528441197,"Henry Thomas","IT","34600.86"
226618462,"Ryan Adams","IT","34580.50"
677871754,"Nicholas Baker","IT","34572.75"
596964396,"Bennett Alvarez","IT","34535.22"
444460278,"Hunter Walker","IT","34513.25"
766754648,"Landon Walker","IT","34447.59"
643956393,"Logan Keller","IT","34428.39"
982045940,"Grayson Nelson","IT","34421.31"
634632587,"Henry Allen","IT","34411.13"
183477254,"Greyson Martin","IT","34383.23"
608488745,"Nicholas Torres","IT","34377.11"
337013450,"Micah Lewis","IT","34376.56"
286689042,"Silas Clark","IT","34353.16"
